OBJECTID,HVR_RD_TRAIN_REF1,HVR_RD_TRAIN_REF1_COMM,RD_MANAGER,SUBJECT_PREF_RDNAME,LRS_RMACLASS,LOCALITIES,Shape_Length
847,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,WOOD ROAD,Municipal Road,OUYEN,743.00298360629
848,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,WOODALL LANEWAY,Municipal Road,OUYEN,102.466903882254
849,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,WOODS ROAD,Municipal Road,MERRINEE,11429.6866494413
850,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,WOOL TRACK,Municipal Road,BIG DESERT,4554.33525561183
851,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,WOROOA ROAD,Municipal Road,BOINKA,56.8029581619209
852,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,WOROOA ROAD,Municipal Road,BOINKA to LINGA,10314.2464759589
853,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,WOROOA ROAD ,Municipal Road,LINGA,4044.10920688101
854,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,WYATT ROAD,Municipal Road,MURRAYVILLE,11957.6792615133
855,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,WYMLET ROAD,Municipal Road,OUYEN,1957.46505281218
856,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,YARRARA SOUTH ROAD,Municipal Road,MERINGUR,15225.1027463701
857,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,YARRARA SOUTH ROAD,Municipal Road,MERINGUR to WERRIMULL,1240.482002863
858,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,YATES ROAD,Municipal Road,WERRIMULL,11345.2594225906
859,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,YATPOOL WEST ROAD ,Municipal Road,CARWARP,12666.2699543083
860,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,YELLUMJIP CONNECTION,Municipal Road,,135.177507397281
861,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,YELLUMJIP CONNECTION,Municipal Road,OUYEN,9732.8136521678
862,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,YETMAN LANE,Municipal Road,OUYEN,18523.1481056068
863,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,YOUNG ROAD,Municipal Road,KULWIN,7060.37683819194
