OBJECTID,HVR_RD_TRAIN_REF1,HVR_RD_TRAIN_REF1_COMM,RD_MANAGER,SUBJECT_PREF_RDNAME,LRS_RMACLASS,LOCALITIES,Shape_Length
322,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,COLMO LANEWAY,Municipal Road,OUYEN,251.820182727296
323,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,COMINI LANEWAY,Municipal Road,OUYEN,159.604770914611
324,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,COOKE ROAD,Municipal Road,TORRITA,14192.8999294669
325,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CORBETT LANE,Municipal Road,WALPEUP,1013.87568656683
326,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,COURT STREET,Municipal Road,MITTYACK,395.697394851623
327,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,COWANGIE SOUTH ROAD,Municipal Road,COWANGIE to BIG DESERT,10514.9807136588
328,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,COWANGIE SOUTH ROAD ,Municipal Road,COWANGIE,6751.97487808757
329,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,COX LANE,Municipal Road,MURRAYVILLE,126.850286848595
330,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CRANE ROAD,Municipal Road,MURRAYVILLE,10760.0065892161
331,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CRANE ROAD,Municipal Road,PATCHEWOLLOCK,3909.45169171308
332,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CREAN ROAD,Municipal Road,WALPEUP,3624.72981735327
333,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CREMMINS ROAD ,Municipal Road,MERINGUR,112.300779341342
334,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CROFT ROAD,Municipal Road,MERINGUR,11227.9143604059
335,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CROMBIE ROAD,Municipal Road,TUTYE,5281.25136958623
336,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CROOK ROAD,Municipal Road,KULWIN,3298.13914673966
337,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CROSBIE LANEWAY,Municipal Road,OUYEN,452.655322086417
338,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CROTHERS ROAD,Municipal Road,UNDERBOOL,3059.44687365226
339,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CROW ROAD,Municipal Road,LINGA,13252.6711019907
340,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CUMMINGS ROAD,Municipal Road,TUTYE,4343.74498338059
341,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CUMMINGS ROAD,Municipal Road,TUTYE to BOINKA,9987.53675048702
342,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CURRAM ROAD,Municipal Road,OUYEN,15853.4039248064
343,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CURTIS ROAD,Municipal Road,WARGAN,11592.8089993244
344,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,CUTLER LANE,Municipal Road,KOORLONG to CARWARP,3741.89419084113
345,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,DAALKO ROAD,Municipal Road,TORRITA,5021.63640332294
346,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,DAKERS STREET,Municipal Road,OUYEN,471.445977402612
347,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,DALY ROAD,Municipal Road,KULWIN,4611.40363464548
348,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,DANES ROAD,Municipal Road,IRAAK,5290.76336444846
349,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,DANYO NORTH ROAD,Municipal Road,COWANGIE,22993.5574996927
350,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,DANYO SOUTH ROAD,Municipal Road,COWANGIE,11323.0478474008
351,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,DARBS ROAD,Municipal Road,PATCHEWOLLOCK,5783.21291124726
352,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,DART ROAD,Municipal Road,MERINGUR,11302.5654050875
353,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,DART ROAD,Municipal Road,WERRIMULL,13207.8154333896
354,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,DESERT ROAD,Municipal Road,OUYEN,2200.88383966126
355,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,DICKESON GROVE,Municipal Road,COLIGNAN,2173.85671121172
356,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,DINGO TANK ROAD ,Municipal Road,OUYEN,14921.0821168357
357,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,DIXON ROAD,Municipal Road,OUYEN,279.103480013119
358,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,DOERING ROAD,Municipal Road,RED CLIFFS to CARWARP,12517.913237939
359,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,DOLAN LANEWAY,Municipal Road,OUYEN,135.562936226907
360,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,DONNELLY ROAD ,Municipal Road,WALPEUP,13314.8796366972
361,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,DOUGLAS LANE,Municipal Road,WERRIMULL,252.253106695971
362,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,DOW LANEWAY,Municipal Road,OUYEN,109.026118251572
363,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,DRENDEL ROAD,Municipal Road,TUTYE to COWANGIE,9081.51992529664
364,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,DUDDO WELLS ROAD,Municipal Road,MURRAYVILLE,9148.05577617858
365,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,DUNCAN ROAD,Municipal Road,MERINGUR,13472.2997511675
366,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,DUNKLEY ROAD ,Municipal Road,OUYEN,6832.69986879337
367,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,DUNNE ROAD,Municipal Road,MERRINEE,11355.8483827338
368,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,DUNNING LANE,Municipal Road,MERINGUR,21.3573722243701
369,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,EAC LANE,Municipal Road,NANGILOC,1243.456815246
370,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,EAST ROAD,Municipal Road,PANITYA,29.6320765853016
371,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,EAST STREET ,Municipal Road,UNDERBOOL,602.481882808851
372,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,EASTMOND ROAD,Municipal Road,MERRINEE,4835.9283627744
373,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,EDWARDS ROAD,Municipal Road,OUYEN to KULWIN,16968.3266390203
374,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,ELDRIDGE LANEWAY,Municipal Road,OUYEN,119.014875719181
375,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,ELLIOTT ROAD,Municipal Road,UNDERBOOL,812.641251736492
376,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,ELLISON LANEWAY,Municipal Road,OUYEN,545.906783638826
377,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,EMU FLAT TRACK,Municipal Road,,5471.03595473185
378,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,ERHARDT ROAD,Municipal Road,OUYEN,4724.60816444683
379,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,EWINS ROAD,Municipal Road,BOINKA,5697.88299154506
380,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,FASHAM STREET ,Municipal Road,UNDERBOOL,889.774041688932
381,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,FATS ROAD,Municipal Road,MERINGUR,14776.1992668708
382,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,FEIGLINS ROAD,Municipal Road,COLIGNAN,3625.89702489537
383,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,FISHER LANE,Municipal Road,MURRAYVILLE,105.126633625774
384,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,FORBES LANE,Municipal Road,MURRAYVILLE,82.29496177188
385,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,FORBES ROAD,Municipal Road,CARWARP to RED CLIFFS,7536.70679031331
386,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,FORSYTH ROAD,Municipal Road,MURRAYVILLE,25495.8867847402
387,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,FOX LANEWAY,Municipal Road,OUYEN,747.079445439515
388,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,FOX ROAD,Municipal Road,MERINGUR,10308.0600716376
389,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,FRANCIS STREET ,Municipal Road,MURRAYVILLE,354.793972362519
390,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,FRANKEL ROAD,Municipal Road,PATCHEWOLLOCK,3080.71593437182
391,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,FRASER ROAD,Municipal Road,TEMPY,1020.96607903419
392,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,FRASER ROAD,Municipal Road,WERRIMULL,5167.59963531174
393,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,FREE LANE,Municipal Road,COWANGIE,4436.63746505616
394,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,FREELAND LANE,Municipal Road,WALPEUP,1455.99041953684
395,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,FRITH ROAD,Municipal Road,TORRITA,3609.12449937637
396,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,FULLER STREET ,Municipal Road,OUYEN,157.158700258834
397,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,GAIRNS ROAD,Municipal Road,MERRINEE,8356.60601314305
398,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,GALAH NORTH ROAD,Municipal Road,MURRAY-SUNSET to OUYEN,27221.6892039491
399,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,GAYFIELD ROAD,Municipal Road,HATTAH,5116.46700810438
400,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,GEORGE IRWIN ROAD,Municipal Road,COLIGNAN,2008.79309087566
401,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,GERSH ROAD,Municipal Road,TORRITA,1449.11702458841
402,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,GIBBINS ROAD,Municipal Road,OUYEN,2585.95021577533
403,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,GIBBS ROAD,Municipal Road,COLIGNAN,9443.2054985055
404,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,GIBSON ROAD,Municipal Road,COWANGIE,8831.35026549115
405,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,GILBERT LANEWAY,Municipal Road,OUYEN,193.29138703737
406,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,GINGUAM ROAD,Municipal Road,CARWARP,502.43526843602
407,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,GINGUAM WEST ROAD,Municipal Road,CARWARP,3598.21454644914
408,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,GLEN STREET,Municipal Road,WALPEUP,512.642999721452
409,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,GLOVER LANEWAY,Municipal Road,OUYEN,228.250874105458
410,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,GLOWERY STREET,Municipal Road,OUYEN,145.753757198681
411,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,GNARR ROAD ,Municipal Road,MURRAY-SUNSET to UNDERBOOL,15872.8732394626
412,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,GNIEL ROAD,Municipal Road,OUYEN,5810.82894057478
413,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,GOONGEE-KOONDA ROAD,Municipal Road,MURRAYVILLE to COWANGIE,28272.1104415601
414,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,GOONGEE ROAD,Municipal Road,CARINA to MURRAYVILLE,11442.840735347
415,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,GORDON AVENUE,Municipal Road,COLIGNAN,1177.53167532386
416,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,GRACE ROAD,Municipal Road,OUYEN,4051.1353724567
417,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,GRAY ROAD,Municipal Road,MERINGUR,22264.5025444697
418,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,GROWLERS ROAD,Municipal Road,LINGA to UNDERBOOL,11548.9990081022
419,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,GUNAMALARY ROAD,Municipal Road,MURRAYVILLE to COWANGIE,15456.9231783086
420,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,GUNNER ROAD,Municipal Road,UNDERBOOL to BIG DESERT,7416.83906346987
421,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,GUNNERS TRACK,Municipal Road,BIG DESERT,44.7020306009971
422,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,GYPO ROAD,Municipal Road,COWANGIE,3008.73712527601
423,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,GYPSUM ROAD,Municipal Road,CARWARP,10586.6965311833
424,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HAHNEL LANE,Municipal Road,OUYEN,3831.58937492779
425,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HALL ROAD,Municipal Road,MITTYACK,4998.23815596261
426,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HALL ROAD ,Municipal Road,MITTYACK,525.725321591815
427,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HANNIG ROAD,Municipal Road,WALPEUP,12762.5724212057
428,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HARCOAN ROAD,Municipal Road,WERRIMULL,5818.13804442136
429,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HARDS LANE,Municipal Road,CULLULLERAINE,4345.30867861219
430,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HARDS LANE,Municipal Road,IRAAK,1219.52282709611
431,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HARDS ROAD,Municipal Road,IRAAK,1481.52077914
432,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HARDWICK ROAD,Municipal Road,OUYEN,2810.11018845319
433,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HARKER ROAD,Municipal Road,MERINGUR,11160.7961456865
434,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HARMER LANEWAY,Municipal Road,OUYEN,297.639635969823
435,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HARMER ROAD,Municipal Road,MERINGUR,22133.0620647872
436,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HARRIS LANEWAY,Municipal Road,OUYEN,167.482804922765
437,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HARRISON ROAD,Municipal Road,UNDERBOOL to TORRITA,8872.98492977045
438,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HARVEY ROAD,Municipal Road,LINGA to UNDERBOOL,10215.1851251261
439,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HAYTER ROAD,Municipal Road,LINGA to BOINKA,8758.27711508115
440,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HEALY ROAD,Municipal Road,WALPEUP,6202.9943469775
441,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HEALY ROAD,Municipal Road,WALPEUP to OUYEN,9196.19349758168
442,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HEINTZE LANE,Municipal Road,MURRAYVILLE,193.357958019736
443,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HENSCHKE LANE,Municipal Road,MERRINEE,11304.6767890041
444,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HEWETT ROAD,Municipal Road,COLIGNAN,2404.51946898446
445,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HICKMOTT ROAD,Municipal Road,OUYEN,1826.45338221799
446,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HIGGINS ROAD,Municipal Road,MERRINEE,4319.85282346128
447,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HIRON ROAD,Municipal Road,KULWIN,4540.24027644491
448,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HOBBS LANE,Municipal Road,WERRIMULL,3841.56329868762
449,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HOGAN ROAD,Municipal Road,KULWIN,4291.52285415081
450,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HOLM STREET,Municipal Road,MURRAYVILLE,1059.83077732295
451,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HONEYMOON HUT TRACK,Municipal Road,MURRAY-SUNSET to OUYEN,10319.7717550725
452,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HOOD LANEWAY,Municipal Road,OUYEN,112.972534435656
453,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HORNE ROAD,Municipal Road,OUYEN,1133.4376859034
454,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HOWARD ROAD,Municipal Road,,6505.05010019521
455,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HOYLE ROAD,Municipal Road,,1203.5338304032
456,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HOYLE ROAD,Municipal Road,YELTA,132.053629808316
457,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HULLAND ROAD,Municipal Road,BIG DESERT to PATCHEWOLLOCK,12816.3788133189
458,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,HYNAM ROAD,Municipal Road,PATCHEWOLLOCK,7774.68031235248
459,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,INGWERSEN STREET,Municipal Road,OUYEN,116.332315767546
460,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,IRAAK LAKE ROAD,Municipal Road,IRAAK,590.926284230244
461,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,IRAAK LAKE ROAD ,Municipal Road,IRAAK,3503.66178524287
462,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,IRWIN ROAD,Municipal Road,MERINGUR,8637.29968067666
463,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,JACKSON ROAD,Municipal Road,UNDERBOOL,5790.82937670866
464,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,JARDINE ROAD,Municipal Road,OUYEN,8788.88135022431
465,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,JAY ROAD,Municipal Road,OUYEN,9169.22668086047
466,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,JIM BATHGATE ROAD,Municipal Road,PATCHEWOLLOCK,4269.71348133341
467,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,JOHN ROAD,Municipal Road,WALPEUP to OUYEN,16881.9096172797
468,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,JOHNASONS ROAD,Municipal Road,COWANGIE,4550.03725973242
469,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,JOHNS WAY,Municipal Road,RED CLIFFS,5274.1295283324
470,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,JOLLY ROAD,Municipal Road,PATCHEWOLLOCK,5551.73210375142
471,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,JONASSON ROAD,Municipal Road,COWANGIE,107.864066996823
472,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,JONES ROAD,Municipal Road,KULWIN,7344.96671242005
473,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,JOYCE ROAD,Municipal Road,TORRITA,7271.32838611653
474,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,JULIAN ROAD,Municipal Road,MITTYACK,5261.20422251843
475,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,KARAWINNA NORTH ROAD,Municipal Road,CULLULLERAINE to MERRINEE,13911.4732162107
476,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,KARAWINNA NORTH ROAD,Municipal Road,MERRINEE,622.990174865787
477,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,KARAWINNA SOUTH ROAD,Municipal Road,MERRINEE,12023.2636900954
478,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,KARWEEN NORTH ROAD,Municipal Road,MERINGUR,14098.4425261631
479,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,KARWEEN SOUTH ROAD,Municipal Road,MERINGUR,17503.9949591865
480,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,KAY ROAD,Municipal Road,OUYEN,11525.7358236488
481,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,KEERA ROAD,Municipal Road,CULLULLERAINE to MERRINEE,23480.697863599
482,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,KEERA ROAD ,Municipal Road,CULLULLERAINE,1613.9983875983
483,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,KELLY LANE,Municipal Road,MERINGUR,3413.77251306898
484,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,KELLY ROAD,Municipal Road,BOINKA,795.11653574986
485,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,KELLY ROAD,Municipal Road,WERRIMULL,7203.29833250665
486,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,KEMPE ROAD,Municipal Road,,2731.17619557245
487,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,KEMPE ROAD ,Municipal Road,LINDSAY POINT,384.273637008924
488,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,KENYON STREET ,Municipal Road,WALPEUP,536.472922556477
489,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,KERR ROAD,Municipal Road,MITTYACK to TEMPY,10784.9326846943
490,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,KERRS ROAD,Municipal Road,TEMPY,4179.83091063604
491,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,KILPATRICK LANE,Municipal Road,UNDERBOOL,1038.15546678475
492,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,KING ROAD,Municipal Road,PATCHEWOLLOCK,4798.60252156771
493,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,KING STREET,Municipal Road,WERRIMULL,409.73360931787
494,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,KING STREET ,Municipal Road,WERRIMULL,193.268648022064
495,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,KINNERSLEY ROAD,Municipal Road,BOINKA,11521.1955722889
496,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,KIRBY LANE,Municipal Road,CARWARP,4490.66903840057
497,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,KRUSE LANE,Municipal Road,MURRAYVILLE,164.545684007898
498,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,KRUSS ROAD,Municipal Road,UNDERBOOL to TORRITA,17651.5123012688
499,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,KULKYNE WAY ,Municipal Road,COLIGNAN,1796.6594000997
500,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,KULNINE ROAD,Municipal Road,CULLULLERAINE,5852.96762982415
501,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,KULWIN MITTYACK ROAD,Municipal Road,KULWIN,256.273575302163
502,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,KULWIN SOUTH ROAD,Municipal Road,KULWIN,12048.0379572314
503,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,LACKMANN ROAD,Municipal Road,PANITYA,8031.11473584291
504,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,LAFRANCHI LANEWAY,Municipal Road,OUYEN,305.622545380584
505,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,LANE ROAD,Municipal Road,COWANGIE,6228.35295858703
506,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,LANFRANCHI ROAD,Municipal Road,MURRAYVILLE,3246.35126054654
507,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,LAST HOPE TRACK,Municipal Road,MURRAY-SUNSET to HATTAH,2922.07558188797
508,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,LAST STREET,Municipal Road,MURRAYVILLE,367.871890908405
509,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,LAST STREET ,Municipal Road,MURRAYVILLE,421.248944740367
510,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,LATIMER ROAD,Municipal Road,OUYEN,3599.39253617377
511,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,LATTA ROAD,Municipal Road,TORRITA to WALPEUP,4881.32880956801
512,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,LAWRENCE ROAD,Municipal Road,COWANGIE,4584.60362995912
513,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,LAWREY ROAD,Municipal Road,WALPEUP,3001.05811593482
514,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,LAWSON STREET ,Municipal Road,WERRIMULL,249.163298604377
515,Conditionally Approved,Conditionally approved - Council road accessible in dry weather only,MILDURA,LE COUTEUR ROAD,Municipal Road,OUYEN,5108.18432795431
